id,userId,amountMl,loggedAt,createdAt
1,1,250,2026-05-15,2026-05-15T16:31:01.752Z
2,1,250,2026-05-31,2026-05-31T11:08:01.267Z
3,1,250,2026-05-31,2026-05-31T11:08:04.083Z
4,1,250,2026-05-31,2026-05-31T11:08:05.601Z
5,1,250,2026-05-31,2026-05-31T11:08:05.760Z
6,1,250,2026-05-31,2026-05-31T11:08:05.948Z
7,1,250,2026-05-31,2026-05-31T11:08:06.148Z
8,1,250,2026-05-31,2026-05-31T11:08:06.390Z
9,1,250,2026-05-31,2026-05-31T11:08:06.552Z
10,1,250,2026-05-31,2026-05-31T11:08:06.800Z
11,1,250,2026-05-31,2026-05-31T11:16:50.921Z
12,1,250,2026-05-31,2026-05-31T11:16:50.926Z
13,1,250,2026-05-31,2026-05-31T11:16:50.934Z
14,1,250,2026-05-31,2026-05-31T11:16:51.037Z
15,1,250,2026-06-14,2026-06-14T07:23:05.335Z
